Year,Month,TotalRainfall,MostRainfallInDay,RainDays
1999.00,8.00,199.80,53.70,20.00
1999.00,9.00,180.00,28.20,22.00
1999.00,10.00,79.90,9.40,16.00
1999.00,11.00,77.20,22.70,16.00
1999.00,12.00,194.20,30.00,25.00
2000.00,1.00,51.20,18.30,14.00
2000.00,2.00,111.00,13.70,24.00
2000.00,3.00,22.90,6.20,10.00
2000.00,4.00,47.50,10.90,13.00
2000.00,5.00,73.00,15.10,16.00
2000.00,6.00,68.20,17.70,15.00
2000.00,7.00,61.10,34.70,13.00
2000.00,8.00,41.90,8.70,18.00
2000.00,9.00,107.90,17.10,21.00
2000.00,10.00,184.10,35.00,24.00
2000.00,11.00,190.90,41.80,25.00
2000.00,12.00,187.60,25.60,24.00
2001.00,1.00,86.60,17.40,19.00
2001.00,2.00,129.70,21.40,15.00
2001.00,3.00,116.40,26.50,23.00
2001.00,4.00,70.50,13.90,20.00
2001.00,5.00,22.70,6.80,9.00
2001.00,6.00,57.80,26.90,15.00
2001.00,7.00,117.70,48.20,13.00
2001.00,8.00,154.60,49.80,23.00
2001.00,9.00,71.00,22.30,10.00
2001.00,10.00,127.20,27.00,24.00
2001.00,11.00,31.40,8.20,16.00
2001.00,12.00,72.40,30.10,13.00
2002.00,1.00,242.40,31.20,25.00
2002.00,2.00,143.20,20.00,21.00
2002.00,3.00,59.40,9.90,17.00
2002.00,4.00,114.00,22.00,16.00
2002.00,5.00,162.80,32.70,21.00
2002.00,6.00,105.30,24.00,20.00
2002.00,7.00,54.40,12.60,14.00
2002.00,8.00,47.00,9.00,15.00
2002.00,9.00,37.50,18.20,8.00
2002.00,10.00,213.80,33.00,25.00
2002.00,11.00,214.70,47.90,29.00
2002.00,12.00,143.90,20.30,23.00
2003.00,1.00,75.80,16.70,20.00
2003.00,2.00,81.00,17.30,18.00
2003.00,3.00,71.40,14.30,17.00
2003.00,4.00,123.10,34.20,15.00
2003.00,5.00,109.00,20.50,27.00
2003.00,6.00,107.00,35.20,15.00
2003.00,7.00,95.90,20.50,15.00
2003.00,8.00,23.10,12.80,6.00
2003.00,9.00,55.50,10.80,16.00
2003.00,10.00,27.70,7.90,11.00
2003.00,11.00,125.00,22.10,21.00
2003.00,12.00,72.80,19.10,20.00
2004.00,1.00,107.70,19.50,22.00
2004.00,2.00,77.70,27.10,13.00
2004.00,3.00,119.90,21.50,20.00
2004.00,4.00,59.40,9.40,22.00
2004.00,5.00,46.20,20.10,8.00
2004.00,6.00,100.00,35.50,14.00
2004.00,7.00,54.80,17.00,19.00
2004.00,8.00,178.50,29.10,20.00
2004.00,9.00,99.10,16.50,20.00
2004.00,10.00,167.10,37.80,23.00
2004.00,11.00,35.00,16.10,13.00
2004.00,12.00,70.80,24.10,23.00
2005.00,1.00,124.60,26.60,22.00
2005.00,2.00,29.90,7.00,14.00
2005.00,3.00,83.20,32.80,17.00
2005.00,4.00,134.20,24.40,22.00
2005.00,5.00,94.40,16.00,16.00
2005.00,6.00,53.50,13.50,15.00
2005.00,7.00,105.20,73.20,12.00
2005.00,8.00,52.20,15.40,12.00
2005.00,9.00,111.30,20.20,20.00
2005.00,10.00,219.30,37.20,21.00
2005.00,11.00,108.70,27.00,19.00
2005.00,12.00,74.50,17.30,21.00
2006.00,1.00,48.90,12.00,15.00
2006.00,2.00,28.90,9.40,12.00
2006.00,3.00,112.40,24.70,21.00
2006.00,4.00,30.00,8.00,15.00
2006.00,5.00,134.50,27.60,23.00
2006.00,6.00,14.80,6.10,11.00
2006.00,7.00,58.60,14.20,15.00
2006.00,8.00,69.90,23.10,12.00
2006.00,9.00,179.00,28.10,21.00
2006.00,10.00,184.70,37.10,20.00
2006.00,11.00,155.00,38.30,21.00
2006.00,12.00,183.00,32.30,23.00
2007.00,1.00,87.90,15.90,22.00
2007.00,2.00,141.90,23.80,20.00
2007.00,3.00,89.30,28.70,16.00
2007.00,4.00,27.10,10.70,8.00
2007.00,5.00,64.50,14.90,19.00
2007.00,6.00,156.90,33.90,18.00
2007.00,7.00,116.30,21.50,26.00
2007.00,8.00,80.40,35.70,19.00
2007.00,9.00,36.10,20.90,9.00
2007.00,10.00,64.00,13.20,15.00
2007.00,11.00,57.20,19.10,18.00
2007.00,12.00,134.30,20.60,19.00
2008.00,1.00,195.10,35.20,27.00
2008.00,2.00,49.80,13.00,17.00
2008.00,3.00,113.50,30.30,24.00
2008.00,4.00,53.70,8.60,17.00
2008.00,5.00,75.60,29.90,17.00
2008.00,6.00,138.50,24.10,16.00
2008.00,7.00,148.10,29.80,18.00
2008.00,8.00,163.60,18.90,28.00
2008.00,9.00,123.80,39.70,14.00
2008.00,10.00,139.20,27.20,27.00
2008.00,11.00,79.40,23.60,17.00
2008.00,12.00,60.20,15.20,16.00
2009.00,1.00,201.90,38.30,24.00
2009.00,2.00,17.00,3.10,12.00
2009.00,3.00,41.10,10.80,19.00
2009.00,4.00,159.80,23.20,20.00
2009.00,5.00,85.70,15.20,16.00
2009.00,6.00,84.80,32.80,14.00
2009.00,7.00,203.70,36.70,27.00
2009.00,8.00,155.50,24.10,23.00
2009.00,9.00,53.80,15.80,11.00
2009.00,10.00,180.60,27.10,21.00
2009.00,11.00,232.80,30.30,29.00
2009.00,12.00,157.60,41.90,19.00
2010.00,1.00,125.70,21.50,14.00
2010.00,2.00,42.70,19.50,12.00
2010.00,3.00,96.20,18.90,17.00
2010.00,4.00,40.90,18.00,12.00
2010.00,5.00,47.30,10.50,12.00
2010.00,6.00,63.40,21.10,15.00
2010.00,7.00,119.50,25.20,22.00
2010.00,8.00,17.10,8.80,10.00
2010.00,9.00,81.40,16.70,22.00
2010.00,10.00,118.00,26.20,24.00
2010.00,11.00,85.60,29.20,20.00
2010.00,12.00,66.90,27.10,9.00
2011.00,1.00,75.80,17.70,11.00
2011.00,2.00,127.70,17.00,23.00
2011.00,3.00,35.70,7.00,12.00
2011.00,4.00,39.70,12.10,13.00
2011.00,5.00,122.30,22.40,18.00
2011.00,6.00,88.70,23.80,17.00
2011.00,7.00,40.30,13.20,13.00
2011.00,8.00,53.90,9.30,14.00
2011.00,9.00,112.50,16.80,24.00
2011.00,10.00,91.80,24.40,22.00
2011.00,11.00,148.60,35.20,23.00
2011.00,12.00,87.10,22.00,26.00
1962.00,1.00,41.10,7.10,16.00
1962.00,2.00,26.70,5.70,14.00
1962.00,3.00,53.60,15.10,13.00
1962.00,4.00,40.80,7.10,13.00
1962.00,5.00,56.80,18.50,19.00
1962.00,6.00,24.90,7.40,11.00
1962.00,7.00,68.00,18.40,15.00
1962.00,8.00,73.10,17.50,17.00
1962.00,9.00,129.20,31.10,19.00
1962.00,10.00,16.80,8.40,8.00
1962.00,11.00,47.90,9.20,14.00
1962.00,12.00,75.30,12.90,20.00
1963.00,1.00,41.10,9.30,12.00
1963.00,2.00,61.90,22.70,10.00
1963.00,3.00,65.20,15.20,16.00
1963.00,4.00,47.00,6.60,19.00
1963.00,5.00,42.00,7.90,20.00
1963.00,6.00,54.30,15.50,17.00
1963.00,7.00,23.50,6.00,13.00
1963.00,8.00,103.10,53.50,20.00
1963.00,9.00,44.90,12.00,12.00
1963.00,10.00,47.60,9.70,15.00
1963.00,11.00,95.90,17.80,21.00
1963.00,12.00,16.40,4.40,10.00
1964.00,1.00,14.80,3.40,10.00
1964.00,2.00,28.30,5.80,13.00
1964.00,3.00,106.60,18.90,18.00
1964.00,4.00,62.30,15.00,23.00
1964.00,5.00,45.40,7.00,16.00
1964.00,6.00,51.00,9.60,17.00
1964.00,7.00,47.40,24.20,13.00
1964.00,8.00,81.30,18.60,16.00
1964.00,9.00,51.70,16.20,12.00
1964.00,10.00,62.30,16.90,18.00
1964.00,11.00,26.20,8.90,12.00
1964.00,12.00,111.80,18.90,18.00
1965.00,1.00,97.30,24.50,20.00
1965.00,2.00,4.70,1.60,6.00
1965.00,3.00,54.60,10.40,16.00
1965.00,4.00,45.40,9.60,16.00
1965.00,5.00,51.90,10.40,18.00
1965.00,6.00,72.90,16.90,16.00
1965.00,7.00,79.20,14.10,20.00
1965.00,8.00,55.40,13.60,18.00
1965.00,9.00,67.70,24.50,16.00
1965.00,10.00,41.40,11.20,10.00
1965.00,11.00,182.30,44.50,19.00
1965.00,12.00,97.10,17.00,23.00
1966.00,1.00,94.60,27.20,16.00
1966.00,2.00,114.50,25.60,21.00
1966.00,3.00,40.20,11.80,11.00
1966.00,4.00,151.80,26.20,17.00
1966.00,5.00,52.30,9.20,16.00
